,artist,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
38,Fleetwood Mac,Warm Ways,0.63,0.207,3,-21.285,1,0.0303,0.509,0.00494,0.339,0.517,91.891,audio_features,4SysnIGNcHQlaz9jJVnIxX,spotify:track:4SysnIGNcHQlaz9jJVnIxX,https://api.spotify.com/v1/tracks/4SysnIGNcHQlaz9jJVnIxX,https://api.spotify.com/v1/audio-analysis/4SysnIGNcHQlaz9jJVnIxX,234827,4
39,Led Zeppelin,Since I've Been Loving You - 2012 Remaster,0.393,0.364,5,-10.945,0,0.0345,0.0021,0.0703,0.121,0.308,118.566,audio_features,1SDiiE3v2z89VxC3aVRKHQ,spotify:track:1SDiiE3v2z89VxC3aVRKHQ,https://api.spotify.com/v1/tracks/1SDiiE3v2z89VxC3aVRKHQ,https://api.spotify.com/v1/audio-analysis/1SDiiE3v2z89VxC3aVRKHQ,444148,3
40,Khruangbin,Pelota,0.684,0.648,9,-11.78,0,0.0541,0.0525,0.403,0.0841,0.96,103.849,audio_features,39p88iz6Hzx5KN00QbLIdv,spotify:track:39p88iz6Hzx5KN00QbLIdv,https://api.spotify.com/v1/tracks/39p88iz6Hzx5KN00QbLIdv,https://api.spotify.com/v1/audio-analysis/39p88iz6Hzx5KN00QbLIdv,167973,4
41,The Delfonics,Hey! Love,0.309,0.508,4,-11.876,0,0.0351,0.483,0.000287,0.174,0.56,135.261,audio_features,5LVTzrOs7Ban5EpU9XkGSW,spotify:track:5LVTzrOs7Ban5EpU9XkGSW,https://api.spotify.com/v1/tracks/5LVTzrOs7Ban5EpU9XkGSW,https://api.spotify.com/v1/audio-analysis/5LVTzrOs7Ban5EpU9XkGSW,201973,4
42,Khruangbin,First Class,0.582,0.392,4,-14.835,0,0.0376,0.0649,0.92,0.645,0.603,83.057,audio_features,4z2XNXfoN8xnVP3rYdOU0l,spotify:track:4z2XNXfoN8xnVP3rYdOU0l,https://api.spotify.com/v1/tracks/4z2XNXfoN8xnVP3rYdOU0l,https://api.spotify.com/v1/audio-analysis/4z2XNXfoN8xnVP3rYdOU0l,286998,4
43,The Delfonics,Baby I Love You,0.475,0.566,6,-6.776,0,0.027,0.653,0.796,0.214,0.647,151.606,audio_features,2tTdwJOFZY5ofaomvP4WmY,spotify:track:2tTdwJOFZY5ofaomvP4WmY,https://api.spotify.com/v1/tracks/2tTdwJOFZY5ofaomvP4WmY,https://api.spotify.com/v1/audio-analysis/2tTdwJOFZY5ofaomvP4WmY,187560,4
44,Led Zeppelin,Moby Dick,0.492,0.446,7,-17.181,1,0.064,0.025,0.874,0.566,0.356,112.818,audio_features,0h2gzJQBt6duqZD6kWiz4s,spotify:track:0h2gzJQBt6duqZD6kWiz4s,https://api.spotify.com/v1/tracks/0h2gzJQBt6duqZD6kWiz4s,https://api.spotify.com/v1/audio-analysis/0h2gzJQBt6duqZD6kWiz4s,260960,4
45,The Whispers,And the Beat Goes On,0.793,0.643,11,-7.345,0,0.106,0.134,0.00246,0.0361,0.963,114.894,audio_features,7oQ1wkBmYSBEC2x7U08dvn,spotify:track:7oQ1wkBmYSBEC2x7U08dvn,https://api.spotify.com/v1/tracks/7oQ1wkBmYSBEC2x7U08dvn,https://api.spotify.com/v1/audio-analysis/7oQ1wkBmYSBEC2x7U08dvn,454253,4
46,Khruangbin,People Everywhere (Still Alive),0.551,0.648,7,-13.088,1,0.0627,0.043,0.655,0.41,0.807,109.209,audio_features,2OQ1V0e2O56AeIo4ywuYKF,spotify:track:2OQ1V0e2O56AeIo4ywuYKF,https://api.spotify.com/v1/tracks/2OQ1V0e2O56AeIo4ywuYKF,https://api.spotify.com/v1/audio-analysis/2OQ1V0e2O56AeIo4ywuYKF,159013,4
47,The Stylistics,Break Up To Make Up,0.583,0.301,4,-10.598,1,0.0243,0.883,0.0,0.334,0.337,79.364,audio_features,3TxCVEadoqOUUxDp9gTh2H,spotify:track:3TxCVEadoqOUUxDp9gTh2H,https://api.spotify.com/v1/tracks/3TxCVEadoqOUUxDp9gTh2H,https://api.spotify.com/v1/audio-analysis/3TxCVEadoqOUUxDp9gTh2H,239840,3
48,Al Green,What Is This Feeling,0.574,0.563,0,-6.104,1,0.0469,0.402,0.00164,0.0826,0.818,138.362,audio_features,7FDx81jYxHRGR2rQ7yjdUP,spotify:track:7FDx81jYxHRGR2rQ7yjdUP,https://api.spotify.com/v1/tracks/7FDx81jYxHRGR2rQ7yjdUP,https://api.spotify.com/v1/audio-analysis/7FDx81jYxHRGR2rQ7yjdUP,222596,3
49,The Stylistics,People Make The World Go Round,0.72,0.489,4,-9.157,0,0.0544,0.656,2.35e-06,0.357,0.777,83.129,audio_features,3Wy3e22QJ8hxgtSqy3R2Ty,spotify:track:3Wy3e22QJ8hxgtSqy3R2Ty,https://api.spotify.com/v1/tracks/3Wy3e22QJ8hxgtSqy3R2Ty,https://api.spotify.com/v1/audio-analysis/3Wy3e22QJ8hxgtSqy3R2Ty,211560,4
